,Title,Details,Cost,Descriptions,Attention Grabber
119,Tesla Model S 100D 5dr,"2017 (17 reg)|Saloon|58,000 miles|423PS|Automatic|Electric|1 owner|ULEZ","£53,489",Lakeside Cars are delighted to be offering this outstanding Tesla Model S 100D …,100D Long range Vat qualifying
120,Tesla Model S 100D Auto 4WD 5dr,"2018 (67 reg)|Saloon|27,000 miles|423PS|Automatic|Electric|ULEZ","£62,875","Excellent bodywork, Black Full leather interior - Excellent Condition, Tyre …",
121,Tesla Model S 0.0 AUTO 5d 285 BHP FREE DELIVERY &amp; FINANCE …,"2015 (15 reg)|Saloon|54,000 miles|285BHP|Automatic|Electric|1 owner|Full service history","£35,000",Reed Autos would like to offer you the opportunity to purchase the highest of …,CLICK+DELIVER or CLICK+COLLECT
122,Tesla Model S P90D Ludicrous Plus 5dr,"2015 (65 reg)|Saloon|46,700 miles|691BHP|Automatic|Electric","£51,989",Lakeside cars are delighted to be offering this rare beast. Finished in Multi …,P90D Ludicrous + Rare 7 Seater
123,Tesla Model S P100DL Saloon 5dr Electric Auto 4WD (Ludicrous) …,"2017 (17 reg)|Saloon|20,132 miles|611PS|Automatic|Electric|ULEZ","£69,000","CALL 01245 351234, Ludicrous Edition, 21 Inch Grey Turbine Alloy Wheels, Red …","BUY ONLINE, SHOWROOM NOW OPEN"
124,"Tesla Model S 75D, Uncorked, EAP 2.5 Enabled, Ultra white …","2018 (18 reg)|Saloon|22,600 miles|333PS|Automatic|Electric|Full service history|ULEZ","£49,950",Rare Uncorked 75D (Performance upgrade) with enhanced autopilot 2.5 enabled.   …,"EAP 2.5, Ultra White Interior"
125,Tesla Model S 75 Auto 5dr,"2017 (67 reg)|Saloon|27,500 miles|319PS|Automatic|Electric|ULEZ","£43,950","Tesla Model S in gorgeous pearl white multicoat with black leather interior, …",Enhanced AutoPilot / Pan Roof
126,Tesla Model S 90D Auto 4WD 5dr,"2017 (17 reg)|Saloon|76,000 miles|423PS|Automatic|Electric|1 owner|ULEZ","£45,999","Well looked after, one owner vehicle, 12 months MOT, Excellent bodywork, Interior …","VAT Qualifying, Very clean car"
127,Tesla Model S 0.0 75D 5d 517 BHP NATIONWIDE DELIVERY Available,"2018 (18 reg)|Saloon|17,149 miles|1.0L|517BHP|Automatic|Electric","£47,995",NATIONWIDE DELIVERY Available. Finished in Red Metallic With Full Black Electric …,FULL GLASS PAN ROOF
128,Tesla Model S 100D Auto 4WD 5dr,"2017 (17 reg)|Saloon|62,912 miles|423PS|Automatic|Electric|ULEZ","£49,600","Massive Spec, 1 Owner Since New, 100D, 2 Charging Cables Included, 2 Keys, HPI …","Soft White Leather, 21"" Alloys"
129,Tesla Model S 75D Auto 4WD 5dr,"2018 (68 reg)|Saloon|9,000 miles|333PS|Automatic|Electric|1 owner|ULEZ","£54,950","PANO ROOF + FULL LEATHER, FREE SUPERCHARGING, Finished in Pearl White with Full …",BUY ONLINE + FREE UK DELIVERY
130,Tesla Model S 90D Auto 4WD 5dr,"2016 (66 reg)|Saloon|50,088 miles|423PS|Automatic|Electric|1 owner|ULEZ","£44,000","CALL 01245 351234, 19 Inch Alloy Wheels, Panoramic Roof, Privacy Glass, VAT …","19s, PAN ROOF, VAT Q"
131,Tesla Model S 75D Auto 4WD 5dr,"2018 (18 reg)|Saloon|28,400 miles|333PS|Automatic|Electric|1 owner|ULEZ","£49,875","This is a perfect opportunity to own a very rare, low mileage Tesla Model S with …",ADVANCED A PILOT+PAN+AERO PACK
132,"Tesla Model S 90D, Free S'charging*, Autopilot 2, Pano Sunroof …","2017 (66 reg)|Saloon|64,500 miles|423PS|Automatic|Electric|2 owners|Full service history|ULEZ","£47,495",With excellent range and fast charging from the 90kwh battery pack and the added …,Summon and Autopark
133,"Tesla Model S 85D, Free S'charging, Autopilot, 7 Seats 5dr","2016 (16 reg)|Saloon|38,603 miles|422BHP|Automatic|Electric|1 owner|Full service history","£44,000",A handsome and low mileage Model S 85D finished in Deep Metallic Blue with Sonic …,AutoPark and Summon included|*
134,Tesla Model S E 85D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|69,000 miles|422BHP|Automatic|Electric","£35,999","85 Dual Motor, Top Spec, 1 Owner Since New, 2 Keys, Full Tesla Service History, …","Free-S-Charging, Panroof, 85D!"
135,Tesla Model S E 85D CVT 4x4 5dr (Nav),"2015 (65 reg)|Saloon|25,000 miles|422BHP|Automatic|Electric","£41,990",FINANCE PACKAGES AVAILABLE FROM 5.9% AND PART EXCHANGE WELCOME – APPOINTMENT …,"PANO ROOF + 21"" ALLOY WHEELS"
136,Tesla Model S 70 Auto 5dr,"2016 (16 reg)|Saloon|12,000 miles|319PS|Automatic|Electric|1 owner|ULEZ","£41,850","**FREE DELIVERY, T&C'S APPLY** AUTOPILOT WITH SUMMON & AUTO STEER, FULL BLACK …",LOW MILEAGE+++FACELIFT MODEL
137,Tesla Model S auto 5dr,"2015 (15 reg)|Saloon|35,356 miles|362BHP|Automatic|Electric","£36,495",Good spec Tesla Model S with the 85kwh battery. Options include highway auto …,"Auto Pilot, Premium Connect"
138,"Tesla Model S 75D, Autopilot, Free S'charging, Pano Sunroof 5dr","2016 (66 reg)|Saloon|59,814 miles|333PS|Automatic|Electric|2 owners|Full service history|ULEZ","£42,000",Featuring the dual motor format with handsome face lift looks this S 75D is …,Includes Autopark and Summon|*
139,Tesla Model S ALL MODELS 5dr,"2015 (65 reg)|Saloon|64,887 miles|Automatic|Electric","£39,995","Here at Vogue we are delighted to offer our one owner from new, Tesla Model S …","PERFORMACE, 7 SEATS"
140,Tesla Model S 75 Auto 5dr,"2017 (67 reg)|Saloon|30,015 miles|319PS|Automatic|Electric|1 owner|ULEZ","£42,000","CALL 01245 351234, Black With Black Half Leather, 19 Inch Alloy Wheels, Panoramic …","19'S, PAN ROOF"
141,Tesla Model S 100D Saloon 5dr Electric Auto 4WD (417 bhp),"2018 (67 reg)|Saloon|27,650 miles|423PS|Automatic|Electric|ULEZ","£57,500","CALL 01245 351234, Black With Black Full Leather, VAT Qualifying, Panoramic Roof, …","19'S, PAN ROOF, VAT Q"
142,Tesla Model S 0.0 100D 5d 762 BHP,"2018 (67 reg)|Saloon|22,937 miles|762BHP|Automatic|Electric","£62,985",Zero deposit soft search finance available (15+ finance lenders) + 5 star …,
